Chr,C2U start,C2U end,U/C,Strand
chr11,74456739,74456740,0.140625,-
chr11,74456906,74456907,0.164948,-
chr11,74456913,74456914,0.134715,-
chr11,74456916,74456917,0.124352,-
chr11,74688623,74688624,0.147541,+
chr11,75111843,75111844,0.166008,+
chr11,75112730,75112731,0.191529,+
chr11,75113417,75113418,0.127451,+
chr11,75116678,75116679,0.101695,+
chr11,75116706,75116707,0.100329,+
chr11,75116725,75116726,0.212885,+
chr11,75116743,75116744,0.142857,+
chr11,75283106,75283107,0.1,+
chr11,75283451,75283452,0.131944,+
chr11,75283464,75283465,0.150685,+
chr11,75283502,75283503,0.191919,+
chr11,75283504,75283505,0.116162,+
chr11,75283727,75283728,0.101449,+
chr11,75283773,75283774,0.113043,+
chr11,75283794,75283795,0.252525,+
chr11,75283806,75283807,0.178571,+
chr11,75727902,75727903,0.176471,+
chr11,75728008,75728009,0.135135,+
chr11,75851928,75851929,0.105263,+
chr11,75852582,75852583,0.196721,+
chr11,75852714,75852715,0.179487,+
chr11,75853482,75853483,0.1875,+
chr11,76061309,76061310,0.163043,-
chr11,76061360,76061361,0.298507,-
chr11,76061449,76061450,0.172727,-
chr11,76061580,76061581,0.104167,-
chr11,76061708,76061709,0.123457,-
chr11,76061728,76061729,0.2,-
chr11,76062296,76062297,0.148148,-
chr11,76062831,76062832,0.216216,-
chr11,76063121,76063122,0.111111,-
chr11,76063398,76063399,0.264151,-
chr11,76152441,76152442,0.1,-
chr11,76256952,76256953,0.108108,+
chr11,76261264,76261265,0.173913,+
chr11,76261276,76261277,0.162791,+
chr11,76261322,76261323,0.176471,+
chr11,76261661,76261662,0.105263,+
chr11,76261751,76261752,0.121212,+
chr11,76261897,76261898,0.133333,+
chr11,76262120,76262121,0.162791,+
chr11,76262558,76262559,0.166667,+
chr11,76508345,76508346,0.258065,+
chr11,76508763,76508764,0.119048,+
chr11,76731497,76731498,0.108108,+
chr11,76733576,76733577,0.151515,+
chr11,76733686,76733687,0.138889,+
chr11,76733691,76733692,0.117647,+
chr11,77033141,77033142,0.1,-
chr11,77033387,77033388,0.102564,-
chr11,77033871,77033872,0.243902,-
chr11,77033892,77033893,0.139535,-
chr11,77327220,77327221,0.229167,-
chr11,77327289,77327290,0.103704,-
chr11,77327294,77327295,0.123288,-
chr11,77330675,77330676,0.1,-
chr11,77336041,77336042,0.145695,-
chr11,77340853,77340854,0.146341,-
chr11,77371546,77371547,0.108108,-
chr11,77371974,77371975,0.1,-
chr11,77373258,77373259,0.189189,-
chr11,77375626,77375627,0.105263,-
chr11,77376188,77376189,0.117647,-
chr11,77376608,77376609,0.145833,-
chr11,77376654,77376655,0.15,-
chr11,77376961,77376962,0.114286,-
chr11,77377100,77377101,0.12766,-
chr11,77377357,77377358,0.139535,-
chr11,77780927,77780928,0.145161,-
chr11,77780958,77780959,0.156566,-
chr11,77781003,77781004,0.137615,-
chr11,77784116,77784117,0.125749,-
chr11,77784124,77784125,0.185286,-
chr11,77811999,77812000,0.142857,-
chr11,77812022,77812023,0.112903,-
chr11,77812066,77812067,0.106061,-
chr11,77812110,77812111,0.171171,-
chr11,77820527,77820528,0.147059,-
chr11,77820575,77820576,0.142857,-
chr11,78147414,78147415,0.114286,-
chr11,78147502,78147503,0.126761,-
chr11,78147673,78147674,0.105263,-
chr11,78177034,78177035,0.131148,-
chr11,82400875,82400876,0.11997,+
chr11,82400904,82400905,0.114855,+
chr11,82400909,82400910,0.143836,+
chr11,82535441,82535442,0.111111,-
chr11,82535461,82535462,0.133333,-
chr11,82549584,82549585,0.188679,-
chr11,82561035,82561036,0.114754,-
chr11,82561038,82561039,0.101695,-
chr11,82643331,82643332,0.131579,+
chr11,82643826,82643827,0.147059,+
chr11,82643982,82643983,0.105263,+
chr11,82644451,82644452,0.114286,+
chr11,82645216,82645217,0.111111,+
chr11,82872453,82872454,0.151515,+
chr11,82880727,82880728,0.134615,+
chr11,82895739,82895740,0.116279,+
chr11,82895803,82895804,0.101852,+
chr11,82896317,82896318,0.169811,+
chr11,82896548,82896549,0.1,+
chr11,82896633,82896634,0.121212,+
chr11,82976934,82976935,0.109375,-
chr11,82976989,82976990,0.114286,-
chr11,82985732,82985733,0.107143,-
chr11,82989802,82989803,0.111111,-
chr11,82991196,82991197,0.153846,-
chr11,82991224,82991225,0.101449,-
chr11,85346748,85346749,0.101449,+
chr11,85346797,85346798,0.140127,+
chr11,85347296,85347297,0.109375,+
chr11,85347356,85347357,0.15625,+
chr11,85347363,85347364,0.13,+
chr11,85371101,85371102,0.114286,-
chr11,85372356,85372357,0.140625,-
chr11,85372487,85372488,0.126437,-
chr11,85372884,85372885,0.104167,-
chr11,85372890,85372891,0.155556,-
chr11,85372969,85372970,0.169231,-
chr11,85373229,85373230,0.101449,-
chr11,85374143,85374144,0.117647,-
chr11,85668939,85668940,0.129032,-
chr11,85668951,85668952,0.15625,-
chr11,85669615,85669616,0.1,-
chr11,85669841,85669842,0.117647,-
chr11,85669898,85669899,0.142857,-
chr11,85733443,85733444,0.109091,-
chr11,85906456,85906457,0.12766,+
chr11,85906791,85906792,0.111111,+
chr11,86017333,86017334,0.141176,+
chr11,86017337,86017338,0.141304,+
chr11,86017383,86017384,0.128571,+
chr11,86048559,86048560,0.111111,+
chr11,87033646,87033647,0.125,+
chr11,88027110,88027111,0.164179,-
chr11,88027416,88027417,0.131579,-
chr11,88059511,88059512,0.129032,-
chr11,88059559,88059560,0.150943,-
chr11,89921670,89921671,0.2,-
chr11,89922023,89922024,0.117647,-
chr11,89929715,89929716,0.1,-
chr11,89935328,89935329,0.136364,-
chr11,89935524,89935525,0.107527,-
chr11,92881905,92881906,0.129032,-
chr11,92901192,92901193,0.190476,-
chr11,92917627,92917628,0.106383,-
chr11,93211717,93211718,0.2,-
chr11,93212011,93212012,0.183673,-
chr11,93460284,93460285,0.108108,+
chr11,93460288,93460289,0.153846,+
chr11,93460597,93460598,0.243243,+
chr11,93460702,93460703,0.145833,+
chr11,93460706,93460707,0.133333,+
chr11,93463120,93463121,0.104167,+
chr11,93463500,93463501,0.157143,-
chr11,93464334,93464335,0.122642,-
chr11,93469366,93469367,0.134328,-
chr11,93470288,93470289,0.138462,-
chr11,93494791,93494792,0.133333,+
chr11,93545272,93545273,0.145161,+
chr11,93911698,93911699,0.111111,+
chr11,93911704,93911705,0.114286,+
chr11,93912923,93912924,0.2,+
chr11,93912947,93912948,0.129032,+
chr11,93913129,93913130,0.136364,+
chr11,93921785,93921786,0.145455,-
chr11,94151951,94151952,0.125,-
chr11,94170361,94170362,0.1,-
chr11,94231994,94231995,0.147059,+
chr11,94604131,94604132,0.1,+
chr11,94696400,94696401,0.1,-
chr11,94696496,94696497,0.268293,-
chr11,94696514,94696515,0.15,-
chr11,94801410,94801411,0.102564,+
chr11,94801461,94801462,0.122807,+
chr11,94802045,94802046,0.113636,+
chr11,94802165,94802166,0.18,+
chr11,94803719,94803720,0.153846,+
chr11,94804156,94804157,0.147059,+
chr11,94898976,94898977,0.111111,-
chr11,95502751,95502752,0.142857,-
chr11,95503367,95503368,0.138889,-
chr11,95503640,95503641,0.108108,-
chr11,95504055,95504056,0.166667,-
chr11,95504161,95504162,0.15625,-
chr11,95504354,95504355,0.15625,-
chr11,95504694,95504695,0.134615,-
chr11,95562399,95562400,0.142857,+
chr11,95564584,95564585,0.151899,+
chr11,95564677,95564678,0.10084,+
chr11,95564923,95564924,0.1,+
chr11,95565026,95565027,0.107143,+
chr11,95565506,95565507,0.101695,+
chr11,95565529,95565530,0.109091,+
chr11,95565632,95565633,0.2,+
chr11,95565650,95565651,0.105263,+
chr11,95565687,95565688,0.108108,+
chr11,95565825,95565826,0.133333,+
chr11,95567847,95567848,0.1,-
chr11,95567894,95567895,0.113636,-
chr11,95568020,95568021,0.148936,-
chr11,95568097,95568098,0.229167,-
chr11,95568153,95568154,0.121951,-
chr11,95568209,95568210,0.191489,-
chr11,95568542,95568543,0.1,-
chr11,95578290,95578291,0.122449,-
chr11,96086721,96086722,0.125,-
chr11,96092290,96092291,0.131579,-
chr11,96104261,96104262,0.121212,-
chr11,96116470,96116471,0.205128,-
chr11,96116532,96116533,0.118644,-
chr11,96117208,96117209,0.151515,-
chr11,96117825,96117826,0.1,-
chr11,100207919,100207920,0.114754,+
chr11,102100785,102100786,0.1,+
chr11,102219987,102219988,0.114286,+
chr11,102220009,102220010,0.142857,+
chr11,102220423,102220424,0.129032,+
chr11,102220683,102220684,0.151515,+
chr11,102220710,102220711,0.105263,+
chr11,102220728,102220729,0.132075,+
chr11,102221174,102221175,0.114286,+
chr11,102221278,102221279,0.125,+
chr11,102248969,102248970,0.163265,+
chr11,102248971,102248972,0.12,+
chr11,102249021,102249022,0.16129,+
chr11,102267170,102267171,0.104651,-
chr11,102267644,102267645,0.109091,-
chr11,102267880,102267881,0.147727,-
chr11,102268033,102268034,0.103774,-
chr11,102268153,102268154,0.130841,-
chr11,102268306,102268307,0.105263,-
chr11,102268436,102268437,0.1,-
chr11,102269227,102269228,0.1,-
chr11,102269352,102269353,0.128,-
chr11,102269519,102269520,0.106383,-
chr11,102269583,102269584,0.13,-
chr11,102932819,102932820,0.11236,-
chr11,102932893,102932894,0.113636,-
chr11,102932928,102932929,0.201149,-
chr11,102937070,102937071,0.145833,-
chr11,103048478,103048479,0.1,+
chr11,103124056,103124057,0.121212,+
chr11,103191795,103191796,0.12766,+
chr11,103191948,103191949,0.1,+
chr11,103270552,103270553,0.151515,+
chr11,105878756,105878757,0.151515,-
chr11,105878767,105878768,0.138889,-
chr11,105879299,105879300,0.121212,-
chr11,105880293,105880294,0.175,-
chr11,105880650,105880651,0.117647,-
chr11,105968148,105968149,0.113636,+
chr11,105968223,105968224,0.152542,+
chr11,105968467,105968468,0.177215,+
chr11,105968706,105968707,0.133333,+
chr11,107300039,107300040,0.194444,-
chr11,107373703,107373704,0.113636,-
chr11,107373799,107373800,0.111111,-
chr11,107373987,107373988,0.177778,-
chr11,107374456,107374457,0.139535,-
chr11,107374476,107374477,0.131579,-
chr11,107375737,107375738,0.1,-
chr11,107375757,107375758,0.125,-
chr11,107514366,107514367,0.129032,-
chr11,107661916,107661917,0.152542,-
chr11,107662078,107662079,0.121622,-
chr11,107682460,107682461,0.18,-
chr11,107779264,107779265,0.121212,+
chr11,107779522,107779523,0.115578,+
chr11,107833121,107833122,0.1,+
chr11,107920731,107920732,0.113636,+
chr11,107925466,107925467,0.108696,+
chr11,107925468,107925469,0.113636,+
chr11,107959313,107959314,0.166667,+
chr11,107965621,107965622,0.2,+
chr11,107976278,107976279,0.179487,+
chr11,107977733,107977734,0.116667,+
chr11,107977775,107977776,0.114286,+
chr11,107977857,107977858,0.108696,+
chr11,108010927,108010928,0.107914,+
chr11,108017003,108017004,0.168919,+
chr11,108018216,108018217,0.119266,+
chr11,108018241,108018242,0.143939,+
chr11,108028254,108028255,0.129032,-
chr11,108029139,108029140,0.147059,-
chr11,108029142,108029143,0.117647,-
chr11,108029300,108029301,0.151515,-
chr11,108029329,108029330,0.1875,-
chr11,108029488,108029489,0.210526,-
chr11,108029591,108029592,0.157895,-
chr11,108029666,108029667,0.122449,-
chr11,108029701,108029702,0.116279,-
chr11,108031977,108031978,0.136364,-
chr11,108032061,108032062,0.119048,-
chr11,108044314,108044315,0.108108,-
chr11,108047771,108047772,0.101695,-
chr11,108155121,108155122,0.15625,+
chr11,108236312,108236313,0.166667,+
chr11,108236900,108236901,0.12766,+
chr11,108237418,108237419,0.129032,+
chr11,108239187,108239188,0.129032,+
chr11,108343458,108343459,0.1875,-
chr11,108343669,108343670,0.134615,-
chr11,108344247,108344248,0.114286,-
chr11,108344334,108344335,0.12766,-
chr11,108344612,108344613,0.115942,-
chr11,108344627,108344628,0.176471,-
chr11,108344630,108344631,0.152778,-
chr11,108344682,108344683,0.142857,-
chr11,108344883,108344884,0.2,-
chr11,108344899,108344900,0.170732,-
chr11,108344906,108344907,0.175,-
chr11,108345122,108345123,0.136364,-
chr11,108345172,108345173,0.106061,-
chr11,108345196,108345197,0.139535,-
chr11,108345247,108345248,0.170213,-
chr11,108345468,108345469,0.107692,-
chr11,108350153,108350154,0.170213,-
chr11,108593953,108593954,0.102564,+
chr11,110100576,110100577,0.151515,-
chr11,110100676,110100677,0.1,-
chr11,110100771,110100772,0.184615,-
chr11,110100812,110100813,0.111111,-
chr11,110100950,110100951,0.1,-
chr11,110101042,110101043,0.106061,-
chr11,110101089,110101090,0.18,-
chr11,110101243,110101244,0.194444,-
chr11,110101925,110101926,0.135593,-
chr11,110102259,110102260,0.111111,-
chr11,110102308,110102309,0.169492,-
chr11,110102436,110102437,0.131579,-
chr11,110126052,110126053,0.175439,-
chr11,110135525,110135526,0.125,-
chr11,110333249,110333250,0.123596,+
chr11,110333382,110333383,0.106383,+
chr11,111431125,111431126,0.102564,+
chr11,111431568,111431569,0.16129,+
chr11,111595130,111595131,0.147541,+
chr11,111595590,111595591,0.178571,+
chr11,111595635,111595636,0.102041,+
chr11,111595865,111595866,0.186047,+
chr11,111595941,111595942,0.114286,+
chr11,111596037,111596038,0.25,+
chr11,111599906,111599907,0.105263,+
chr11,111600111,111600112,0.195652,+
chr11,111600151,111600152,0.181818,+
chr11,111600179,111600180,0.125,+
chr11,111609946,111609947,0.108696,-
chr11,111610512,111610513,0.129032,-
chr11,111611398,111611399,0.106061,-
chr11,111611645,111611646,0.107143,-
chr11,111611711,111611712,0.121212,-
chr11,111612092,111612093,0.12766,-
chr11,111612135,111612136,0.135593,-
chr11,111635602,111635603,0.105263,-
chr11,111754538,111754539,0.163934,+
chr11,111754683,111754684,0.159091,+
chr11,111931872,111931873,0.113402,+
chr11,111933584,111933585,0.15625,+
chr11,111933720,111933721,0.153846,+
chr11,111933756,111933757,0.107143,+
chr11,111933898,111933899,0.178218,+
chr11,111933927,111933928,0.118644,+
chr11,111933986,111933987,0.12069,+
chr11,111934101,111934102,0.130435,+
chr11,111934118,111934119,0.114943,+
chr11,111934286,111934287,0.176471,+
chr11,111934303,111934304,0.133333,+
chr11,111934717,111934718,0.108696,+
chr11,111934963,111934964,0.111111,+
chr11,111953632,111953633,0.1125,+
chr11,111953943,111953944,0.213115,+
chr11,111954143,111954144,0.1,+
chr11,111954733,111954734,0.103448,+
chr11,111955179,111955180,0.205882,+
chr11,111955977,111955978,0.289308,-
chr11,111955997,111955998,0.157895,-
chr11,111956075,111956076,0.138122,-
chr11,111956723,111956724,0.135593,-
chr11,111956730,111956731,0.104478,-
chr11,111956923,111956924,0.166667,-
chr11,111956926,111956927,0.131579,-
chr11,111956973,111956974,0.135135,-
chr11,111965956,111965957,0.166667,+
chr11,112104247,112104248,0.166667,+
chr11,113147454,113147455,0.102564,+
chr11,113604036,113604037,0.113636,-
chr11,113604290,113604291,0.130435,-
chr11,113604306,113604307,0.132075,-
chr11,113604355,113604356,0.1625,-
chr11,113609027,113609028,0.118644,-
chr11,113669191,113669192,0.112903,-
chr11,113669552,113669553,0.102564,-
chr11,113704993,113704994,0.136364,-
chr11,114278666,114278667,0.151515,+
chr11,114278764,114278765,0.205882,+
chr11,114279349,114279350,0.12766,+
chr11,114320815,114320816,0.146341,+
chr11,114454343,114454344,0.366667,+
chr11,115044632,115044633,0.108108,-
chr11,115044704,115044705,0.243902,-
chr11,115044777,115044778,0.105263,-
chr11,115044870,115044871,0.146341,-
chr11,115044916,115044917,0.228571,-
chr11,115045257,115045258,0.105263,-
chr11,115045528,115045529,0.111111,-
chr11,115046702,115046703,0.135135,-
chr11,116619018,116619019,0.105263,-
chr11,116633494,116633495,0.108696,-
chr11,116648953,116648954,0.113636,-
chr11,116649007,116649008,0.217391,-
chr11,116649440,116649441,0.141176,-
chr11,116649445,116649446,0.1625,-
chr11,116649685,116649686,0.103175,-
chr11,116649727,116649728,0.226667,-
chr11,116657745,116657746,0.134615,-
chr11,117038415,117038416,0.125,+
chr11,117039948,117039949,0.102564,+
chr11,117039960,117039961,0.214286,+
chr11,117040171,117040172,0.135593,+
chr11,117040327,117040328,0.104478,+
chr11,117040629,117040630,0.150685,+
chr11,117040868,117040869,0.160714,+
chr11,117041013,117041014,0.162791,+
chr11,117067357,117067358,0.121212,+
chr11,117075945,117075946,0.128205,-
chr11,117109630,117109631,0.1,+
chr11,117156038,117156039,0.16129,+
chr11,117161666,117161667,0.181818,-
chr11,117282994,117282995,0.162162,+
chr11,117283650,117283651,0.116279,+
chr11,118267703,118267704,0.121212,+
chr11,118268334,118268335,0.138889,+
chr11,118269365,118269366,0.102041,+
chr11,118269467,118269468,0.113208,+
chr11,118269859,118269860,0.114286,+
chr11,118277694,118277695,0.149847,+
chr11,118277783,118277784,0.158824,+
chr11,118279816,118279817,0.117021,+
chr11,118279867,118279868,0.226667,+
chr11,118279882,118279883,0.152344,+
chr11,118280391,118280392,0.105263,+
chr11,118348858,118348859,0.111111,+
chr11,118367033,118367034,0.129032,+
chr11,118375066,118375067,0.120482,+
chr11,118375175,118375176,0.28,+
chr11,118375267,118375268,0.108108,+
chr11,118376595,118376596,0.113208,+
chr11,118377072,118377073,0.12987,+
chr11,118380730,118380731,0.111111,+
chr11,118393038,118393039,0.113208,+
chr11,118393045,118393046,0.152174,+
chr11,118393948,118393949,0.145161,+
chr11,118393978,118393979,0.192982,+
chr11,118394085,118394086,0.102273,+
chr11,118394564,118394565,0.101695,+
chr11,118395377,118395378,0.142857,+
chr11,118396057,118396058,0.137931,+
chr11,118396359,118396360,0.14,+
chr11,118396460,118396461,0.166667,+
chr11,118396799,118396800,0.120482,+
chr11,118397131,118397132,0.170732,+
chr11,118415295,118415296,0.157895,-
chr11,118415299,118415300,0.129032,-
chr11,118455313,118455314,0.116788,+
chr11,118468613,118468614,0.103448,+
chr11,118471514,118471515,0.144068,+
chr11,118471578,118471579,0.115942,+
chr11,118471611,118471612,0.146341,+
chr11,118471722,118471723,0.12605,+
chr11,118471731,118471732,0.10101,+
chr11,118472051,118472052,0.137255,+
chr11,118472316,118472317,0.132812,+
chr11,118473113,118473114,0.145833,+
chr11,118618847,118618848,0.105263,-
chr11,118618945,118618946,0.12766,-
chr11,118620148,118620149,0.186047,-
chr11,118620247,118620248,0.107843,-
chr11,118620794,118620795,0.106383,-
chr11,118621938,118621939,0.139535,-
chr11,118622667,118622668,0.128571,-
chr11,118622699,118622700,0.153846,-
chr11,118622725,118622726,0.1,-
chr11,118622798,118622799,0.121212,-
chr11,118868481,118868482,0.166667,-
chr11,118868487,118868488,0.184211,-
chr11,118888180,118888181,0.106211,-
chr11,118888193,118888194,0.159341,-
chr11,118888216,118888217,0.139535,-
chr11,118888694,118888695,0.210059,-
chr11,118888709,118888710,0.184615,-
chr11,118894237,118894238,0.125,+
chr11,118894261,118894262,0.149533,+
chr11,118914925,118914926,0.15,-
chr11,118914970,118914971,0.102564,-
chr11,118915117,118915118,0.112676,-
chr11,118915127,118915128,0.1125,-
chr11,118915291,118915292,0.1,-
chr11,118916140,118916141,0.179856,-
chr11,118916313,118916314,0.100559,-
chr11,118916357,118916358,0.121212,-
chr11,118963676,118963677,0.106667,+
chr11,118964615,118964616,0.145078,-
chr11,118964649,118964650,0.275472,-
chr11,118964652,118964653,0.114583,-
chr11,118964755,118964756,0.184028,-
chr11,118964760,118964761,0.122867,-
chr11,118965095,118965096,0.157895,-
chr11,118984949,118984950,0.229167,+
chr11,118987318,118987319,0.125,+
chr11,118987731,118987732,0.133333,+
chr11,119005392,119005393,0.189189,+
chr11,119006016,119006017,0.1,+
chr11,119045526,119045527,0.121212,+
chr11,119172334,119172335,0.133333,+
chr11,119175335,119175336,0.1,+
chr11,119177811,119177812,0.105263,+
chr11,119178196,119178197,0.113636,+
chr11,119179622,119179623,0.111111,-
chr11,119205767,119205768,0.236842,+
chr11,119205975,119205976,0.172414,+
chr11,120100142,120100143,0.119565,+
chr11,120100196,120100197,0.123457,+
chr11,120100228,120100229,0.101695,+
chr11,120100619,120100620,0.178571,+
chr11,120100630,120100631,0.104167,+
chr11,120350864,120350865,0.111111,+
chr11,120351029,120351030,0.111111,+
chr11,120351041,120351042,0.103448,+
chr11,120357238,120357239,0.16,+
chr11,120357575,120357576,0.128205,+
chr11,120357622,120357623,0.114286,+
chr11,120359540,120359541,0.140845,+
chr11,120957687,120957688,0.133333,+
chr11,120959885,120959886,0.2,+
chr11,120960786,120960787,0.136364,+
chr11,121177950,121177951,0.111111,+
chr11,121178054,121178055,0.121212,+
chr11,121178138,121178139,0.149533,+
chr11,121178606,121178607,0.164384,+
chr11,121178635,121178636,0.179487,+
chr11,121178701,121178702,0.152542,+
chr11,121178774,121178775,0.120482,+
chr11,121178816,121178817,0.165049,+
chr11,121178862,121178863,0.112903,+
chr11,121178870,121178871,0.183099,+
chr11,121179077,121179078,0.150943,+
chr11,121179196,121179197,0.147059,+
chr11,121179332,121179333,0.125,+
chr11,122928398,122928399,0.17451,-
chr11,122928407,122928408,0.131796,-
chr11,122928409,122928410,0.101208,-
chr11,122928602,122928603,0.120301,-
chr11,122929016,122929017,0.1,-
chr11,122929042,122929043,0.101289,-
chr11,122929139,122929140,0.140523,-
chr11,122929377,122929378,0.131175,-
chr11,122929385,122929386,0.141353,-
chr11,122929459,122929460,0.116114,-
chr11,122929480,122929481,0.153846,-
chr11,122929512,122929513,0.167173,-
chr11,122929815,122929816,0.119772,-
chr11,122929857,122929858,0.198347,-
chr11,122929899,122929900,0.100686,-
chr11,122929940,122929941,0.10061,-
chr11,122930244,122930245,0.138983,-
chr11,122930306,122930307,0.122164,-
chr11,122930312,122930313,0.1,-
chr11,122930319,122930320,0.126362,-
chr11,122930376,122930377,0.129723,-
chr11,122930495,122930496,0.146835,-
chr11,122930516,122930517,0.142424,-
chr11,122930598,122930599,0.167832,-
chr11,122930635,122930636,0.112228,-
chr11,122930829,122930830,0.178862,-
chr11,122930857,122930858,0.205021,-
chr11,122930879,122930880,0.300971,-
chr11,122930931,122930932,0.154341,-
chr11,122930940,122930941,0.136213,-
chr11,122931337,122931338,0.164912,-
chr11,122931390,122931391,0.130597,-
chr11,122931887,122931888,0.138298,-
chr11,123595550,123595551,0.105263,-
chr11,123595586,123595587,0.139535,-
chr11,123595912,123595913,0.166667,-
chr11,123596455,123596456,0.129032,-
chr11,123597116,123597117,0.219512,-
chr11,123597245,123597246,0.121212,-
chr11,123597392,123597393,0.138889,-
chr11,124502033,124502034,0.1,+
chr11,124502181,124502182,0.142857,+
chr11,124502187,124502188,0.176471,+
chr11,124503508,124503509,0.121212,+
chr11,124503591,124503592,0.131579,+
chr11,124564536,124564537,0.125,+
chr11,124616859,124616860,0.131034,+
chr11,124636826,124636827,0.1,-
chr11,124966986,124966987,0.108108,-
chr11,125301644,125301645,0.114286,+
chr11,125301761,125301762,0.1,+
chr11,125448042,125448043,0.109375,+
chr11,125451155,125451156,0.132075,+
chr11,125451158,125451159,0.115607,+
chr11,125453554,125453555,0.185897,+
chr11,125453704,125453705,0.138365,+
chr11,125454004,125454005,0.15625,+
chr11,125454089,125454090,0.317073,+
chr11,125454306,125454307,0.142384,+
chr11,125454337,125454338,0.100313,+
chr11,125454381,125454382,0.222222,+
chr11,125454500,125454501,0.165899,+
chr11,125454534,125454535,0.16763,+
chr11,125454550,125454551,0.106557,+
chr11,125476304,125476305,0.138462,+
chr11,125482985,125482986,0.12234,+
chr11,125488412,125488413,0.140351,+
chr11,125488445,125488446,0.133333,+
chr11,125489957,125489958,0.109091,+
chr11,125490700,125490701,0.144828,+
chr11,125490735,125490736,0.140625,+
chr11,125490899,125490900,0.166667,+
chr11,125490922,125490923,0.1875,+
chr11,125490977,125490978,0.2,+
chr11,125491079,125491080,0.196721,+
chr11,125491101,125491102,0.105263,+
chr11,125491126,125491127,0.109589,+
chr11,125497693,125497694,0.122807,+
chr11,125514139,125514140,0.127451,+
chr11,125514437,125514438,0.111111,+
chr11,125514491,125514492,0.106667,+
chr11,125523726,125523727,0.150538,+
chr11,125525304,125525305,0.104478,+
chr11,125525332,125525333,0.117647,+
chr11,125525382,125525383,0.150943,+
chr11,125525575,125525576,0.125,+
chr11,125526226,125526227,0.119048,+
chr11,125526356,125526357,0.1,+
chr11,125526684,125526685,0.129032,+
chr11,125526800,125526801,0.119048,+
chr11,125763433,125763434,0.128205,-
chr11,125763458,125763459,0.166667,-
chr11,125763785,125763786,0.142857,-
chr11,125763831,125763832,0.151515,-
chr11,125764049,125764050,0.115385,-
chr11,125764080,125764081,0.163265,-
chr11,125765549,125765550,0.236842,-
chr11,125769891,125769892,0.1,+
chr11,125827926,125827927,0.128205,-
chr11,125937638,125937639,0.139706,+
chr11,125937738,125937739,0.195652,+
chr11,126072520,126072521,0.217391,-
chr11,126073085,126073086,0.125,-
chr11,126073102,126073103,0.103093,-
chr11,126073115,126073116,0.155844,-
chr11,126073145,126073146,0.156863,-
chr11,126073190,126073191,0.112903,-
chr11,126073211,126073212,0.132353,-
chr11,126126529,126126530,0.111111,+
chr11,126132104,126132105,0.102564,+
chr11,126132507,126132508,0.162162,+
chr11,126132841,126132842,0.1,-
chr11,126132882,126132883,0.150376,-
chr11,126132939,126132940,0.258065,-
chr11,126133225,126133226,0.124088,-
chr11,126133330,126133331,0.122951,-
chr11,126136113,126136114,0.210938,-
chr11,126137553,126137554,0.107143,-
chr11,126162661,126162662,0.105263,+
chr11,126284180,126284181,0.139535,+
chr11,128835459,128835460,0.102041,-
chr11,128836120,128836121,0.129032,-
chr11,128836159,128836160,0.147059,-
chr11,129734085,129734086,0.137255,-
chr11,129739542,129739543,0.1,-
chr11,129771131,129771132,0.1,-
chr11,130005527,130005528,0.103448,+
chr11,130013315,130013316,0.109155,+
chr11,130013486,130013487,0.258065,+
chr11,130013559,130013560,0.141509,+
chr11,130013684,130013685,0.105263,+
chr11,130013853,130013854,0.103093,+
chr11,130013865,130013866,0.114286,+
chr11,130013971,130013972,0.111111,+
chr11,130014101,130014102,0.152941,+
chr11,130014227,130014228,0.125561,+
chr11,130014676,130014677,0.101695,+
chr11,130098167,130098168,0.171429,-
chr11,130098894,130098895,0.121212,-
chr11,130099145,130099146,0.125,-
chr11,130099421,130099422,0.102564,-
chr11,134019230,134019231,0.111111,+
chr11,134019236,134019237,0.144737,+
chr11,134019532,134019533,0.115789,+
chr11,134019763,134019764,0.105769,+
chr11,134019878,134019879,0.102564,+
chr11,134021081,134021082,0.12,+
chr11,134021382,134021383,0.103896,+
chr11,134021468,134021469,0.133333,+
chr11,134021508,134021509,0.225806,+
chr11,134022369,134022370,0.149254,-
chr11,134022376,134022377,0.139241,-
chr11,134022438,134022439,0.288462,-
chr11,134022754,134022755,0.125926,-
chr11,134074002,134074003,0.12037,-
chr11,134074813,134074814,0.140845,-
chr11,134079349,134079350,0.112676,-
chr11,134080307,134080308,0.106667,-
chr11,134090487,134090488,0.113043,-
chr11,134115604,134115605,0.207547,+
chr11,134116322,134116323,0.133333,+
chr11,134116597,134116598,0.159091,+
chr11,134116691,134116692,0.228571,+
chr11,134116741,134116742,0.145455,+
chr11,134116780,134116781,0.205479,+
chr11,134117564,134117565,0.18,+
chr11,134117581,134117582,0.130435,+
chr11,134135393,134135394,0.122449,+
chr11,134135613,134135614,0.157895,+
chr11,134145312,134145313,0.166667,-
chr11,134145345,134145346,0.133333,-
chr11,134241349,134241350,0.136364,+
chr11,134243657,134243658,0.106383,+
chr11,134244540,134244541,0.168539,+
chr11,134245084,134245085,0.133333,+
chr11,134246053,134246054,0.133333,+
chr12,393023,393024,0.125,-
chr12,393055,393056,0.1,-
chr12,393574,393575,0.113208,-
chr12,393730,393731,0.153846,-
chr12,394315,394316,0.128205,-
chr12,394370,394371,0.130435,-
chr12,394453,394454,0.162791,-
chr12,402268,402269,0.111111,-
chr12,404813,404814,0.166667,-
chr12,406273,406274,0.105263,-
