PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr8_f_c684[k=11][m=3]_AGACC,chr8,125562144,125562144,+,3,NA,TTS (NM_005005),TTS (NM_005005),10801,NM_001278645,4715,Hs.15977,XM_005250924,ENSG00000147684,NDUFB9,B22|CI-B22|LYRM3|UQOR22,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa",protein-coding
B045_1-4_chrM_f_c185[k=13][m=3]_TTACC,chrM,5023,5023,+,3,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr10_f_c652[k=11][m=3]_GGACA,chr10,97920194,97920194,+,3,NA,"exon (NM_014803, exon 6 of 6)","exon (NM_014803, exon 6 of 6)",30381,NM_001278525,9849,Hs.651650,NM_001278524,ZNF518A,ZNF518,zinc finger protein 518A,protein-coding,
B045_1-4_chr10_f_c53[k=9][m=3]_AGACT,chr10,5979333,5979333,+,3,NA,"3' UTR (NM_001258452, exon 22 of 22)","3' UTR (NM_001258452, exon 22 of 22)",40241,NM_002189,3601,Hs.445124,NM_001243539,ENSG00000134470,IL15RA,CD215,"interleukin 15 receptor, alpha",protein-coding
B045_1-4_chr15_r_c540[k=6][m=3]_GCACT,chr15,83710529,83710529,-,3,NA,"exon (NM_025238, exon 4 of 8)","exon (NM_025238, exon 4 of 8)",25558,NR_039740,100616404,NR_039740,ENSG00000263643,MIR4515,0,microRNA 4515,ncRNA,
B045_1-4_chr14_r_c635[k=13][m=3]_CTACC,chr14,96000091,96000091,-,3,NA,promoter-TSS (NR_003002),promoter-TSS (NR_003002),125,NR_003002,677768,Hs.448753,NR_003002,ENSG00000252481,SCARNA13,U93,small Cajal body-specific RNA 13,ncRNA
B045_1-4_chr1_f_c1129[k=17][m=3]_GAACT,chr1,93812324,93812324,+,3,NA,promoter-TSS (NR_034089),promoter-TSS (NR_034089),846,NM_001938,1810,Hs.348418,NM_001938,DR1,NC2|NC2-BETA,"down-regulator of transcription 1, TBP-binding (negative cofactor 2)",protein-coding,
B045_1-4_chrX_f_c430[k=12][m=3]_TGACT,chrX,84526506,84526506,+,3,NA,"exon (NM_021998, exon 9 of 9)","exon (NM_021998, exon 9 of 9)",27509,NM_021998,7552,Hs.326801,XM_005262186,ENSG00000147180,ZNF711,CMPX1|MRX97|ZNF4|ZNF5|ZNF6|Zfp711|dJ75N13.1,zinc finger protein 711,protein-coding
B045_1-4_chr16_f_c587[k=9][m=3]_TGACA,chr16,30736299,30736299,+,3,NA,"exon (NM_006662, exon 25 of 34)","exon (NM_006662, exon 25 of 34)",14441,NR_002966,677813,Hs.689718,NR_002966,SNORA30,ACA30,"small nucleolar RNA, H/ACA box 30",snoRNA,
B045_1-4_chr5_f_c833[k=14][m=3]_GGACT,chr5,140078217,140078217,+,3,NA,"3' UTR (NM_001278732, exon 11 of 11)","3' UTR (NM_001278732, exon 11 of 11)",-1815,NM_144723,153527,Hs.350194,XM_005268379,ENSG00000146007,ZMAT2,Ptg-12|Snu23|hSNU23,"zinc finger, matrin-type 2",protein-coding
B045_1-4_chr5_r_c1029[k=14][m=3]_AAACA,chr5,179041460,179041460,-,3,NA,"3' UTR (NM_005520, exon 14 of 14)","3' UTR (NM_005520, exon 14 of 14)",-9251,NM_001257293,3187,Hs.604001,XM_005265895,ENSG00000169045,HNRNPH1,HNRPH|HNRPH1|hnRNPH,heterogeneous nuclear ribonucleoprotein H1 (H),protein-coding
B045_1-4_chr10_f_c125[k=35][m=3]_GGACT,chr10,17271675,17271675,+,3,NA,"non-coding (NR_108061, exon 1 of 3)","non-coding (NR_108061, exon 1 of 3)",309,NR_108061,100507347,Hs.740502,XR_109013,VIM-AS1,0,VIM antisense RNA 1,ncRNA,
B045_1-4_chr16_r_c985[k=17][m=3]_TGACA,chr16,87866089,87866089,-,3,NA,"3' UTR (NM_003486, exon 10 of 10)","3' UTR (NM_003486, exon 10 of 10)",-2177,NR_106833,102465464,NR_106833,MIR6775,hsa-mir-6775,microRNA mir-6775,ncRNA,,
B045_1-4_chr3_f_c217[k=9][m=3]_GGACT,chr3,31667497,31667497,+,3,NA,"exon (NM_178862, exon 13 of 16)","exon (NM_178862, exon 13 of 16)",-78208,NR_049771,100874206,Hs.662428,NR_049771,ENSG00000232490,OSBPL10-AS1,AC092024.2,OSBPL10 antisense RNA 1,ncRNA
B045_1-4_chr1_f_c1985[k=36][m=3]_GTACT,chr1,214830381,214830381,+,3,NA,"exon (NM_016343, exon 18 of 20)","exon (NM_016343, exon 18 of 20)",53849,NM_016343,1063,Hs.497741,XM_005273008,ENSG00000117724,CENPF,CENF|PRO1779|hcp-1,"centromere protein F, 350/400kDa",protein-coding
B045_1-4_chr16_r_c314[k=8][m=3]_AGACT,chr16,19718475,19718475,-,3,NA,"exon (NM_001012991, exon 5 of 5)","exon (NM_001012991, exon 5 of 5)",9303,NM_153208,124152,Hs.460217,XM_005255108,ENSG00000174628,IQCK,0,IQ motif containing K,protein-coding
B045_1-4_chrM_f_c205[k=28][m=3]_ACACG,chrM,7012,7012,+,3,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr16_r_c690[k=8][m=3]_AGACT,chr16,67472261,67472261,-,3,NA,TTS (NM_000196),TTS (NM_000196),-7225,NM_000196,3291,Hs.1376,NM_000196,ENSG00000176387,HSD11B2,AME|AME1|HSD11K|HSD2|SDR9C3,hydroxysteroid (11-beta) dehydrogenase 2,protein-coding
B045_1-4_chr13_r_c128[k=13][m=3]_AGACA,chr13,36909606,36909606,-,3,NA,"exon (NM_001142295, exon 2 of 9)","exon (NM_001142295, exon 2 of 9)",10962,NR_045181,100507135,Hs.631781,XR_245368,ENSG00000120664,SPG20OS,C13orf43,SPG20 opposite strand,ncRNA
B045_1-4_chr19_f_c157[k=41][m=3]_GGACG,chr19,1980370,1980370,+,3,NA,"3' UTR (NM_001319, exon 12 of 12)","3' UTR (NM_001319, exon 12 of 12)",-25822,NR_033400,255193,Hs.374717,NM_152771,ENSG00000180846,CSNK1G2-AS1,C19orf34,CSNK1G2 antisense RNA 1,ncRNA
B045_1-4_chr2_f_c214[k=12][m=3]_GGACA,chr2,29023637,29023637,+,3,NA,"3' UTR (NM_002709, exon 8 of 8)","3' UTR (NM_002709, exon 8 of 8)",-10063,NM_182756,245711,Hs.511956,XM_005264239,ENSG00000163806,SPDYA,RINGO3|RINGOA|SPDY1|SPY1,speedy/RINGO cell cycle regulator family member A,protein-coding
B045_1-4_chr11_r_c17[k=6][m=3]_TTACA,chr11,567190,567190,-,3,NA,TTS (NR_029623),TTS (NR_029623),-1008,NR_029623,406992,NR_029623,ENSG00000199038,MIR210,MIRN210|mir-210,microRNA 210,ncRNA,
B045_1-4_chrX_r_c938[k=13][m=3]_GGACA,chrX,153295852,153295852,-,3,NA,"exon (NM_004992, exon 4 of 4)","exon (NM_004992, exon 4 of 4)",10412,NR_031757,100313781,NR_031757,ENSG00000211524,MIR718,hsa-mir-718,microRNA 718,ncRNA,
B045_1-4_chr6_r_c78[k=22][m=3]_AGACT,chr6,8080144,8080144,-,3,NA,"exon (NM_004280, exon 4 of 4)","exon (NM_004280, exon 4 of 4)",-6622,NR_003703,100124533,NR_003703,SCARNA27,0,small Cajal body-specific RNA 27,ncRNA,,
B045_1-4_chr1_r_c43[k=9][m=3]_GGACA,chr1,1271532,1271532,-,3,NA,"exon (NM_004421, exon 15 of 15)","exon (NM_004421, exon 15 of 15)",-3556,NR_106866,102466740,NR_106866,MIR6808,hsa-mir-6808,microRNA mir-6808,ncRNA,,
B045_1-4_chr7_r_c117[k=11][m=3]_GGACA,chr7,6500866,6500866,-,3,NA,"3' UTR (NM_001100603, exon 4 of 4)","3' UTR (NM_001100603, exon 4 of 4)",13223,NM_139179,221955,Hs.487498,XM_005249647,ENSG00000164535,DAGLB,DAGLBETA|KCCR13L,"diacylglycerol lipase, beta",protein-coding
B045_1-4_chr17_r_c1326[k=28][m=3]_TGACT,chr17,79801159,79801159,-,3,NA,"3' UTR (NM_000918, exon 11 of 11)","3' UTR (NM_000918, exon 11 of 11)",8233,NM_001007533,116729,Hs.454720,NM_001007533,ENSG00000182676,PPP1R27,DYSFIP1,"protein phosphatase 1, regulatory subunit 27",protein-coding
B045_1-4_chr2_f_c109[k=16][m=3]_GAACA,chr2,20647507,20647507,+,3,NA,"exon (NM_004040, exon 1 of 1)","exon (NM_004040, exon 1 of 1)",672,NM_004040,388,Hs.502876,NM_004040,ENSG00000143878,RHOB,ARH6|ARHB|MST081|MSTP081|RHOH6,ras homolog family member B,protein-coding
B045_1-4_chr15_r_c448[k=19][m=3]_AGACG,chr15,75931859,75931859,-,3,NA,"3' UTR (NM_018285, exon 1 of 1)","3' UTR (NM_018285, exon 1 of 1)",-805,NM_018285,55272,Hs.513043,XM_005254534,ENSG00000177971,IMP3,BRMS2|C15orf12|MRPS4,"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)",protein-coding
B045_1-4_chr7_r_c679[k=8][m=3]_GGACA,chr7,99055944,99055944,-,3,NA,TTS (NM_006693),TTS (NM_006693),-7880,NM_001039178,9551,Hs.656515,NM_001003713,ENSG00000241468,ATP5J2,ATP5JL,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2",protein-coding
B045_1-4_chr2_r_c662[k=11][m=3]_GAACA,chr2,96851681,96851681,-,3,NA,"3' UTR (NM_020151, exon 8 of 8)","3' UTR (NM_020151, exon 8 of 8)",22473,NR_046322,285033,Hs.58648,NM_001037228,STARD7-AS1,0,STARD7 antisense RNA 1,ncRNA,
B045_1-4_chr3_f_c1168[k=64][m=3]_TGACT,chr3,158409276,158409276,+,3,NA,"3' UTR (NM_024996, exon 18 of 18)","3' UTR (NM_024996, exon 18 of 18)",-18794,NM_020169,56925,Hs.478067,NM_020169,ENSG00000079257,LXN,ECI|TCI,latexin,protein-coding
B045_1-4_chr14_r_c737[k=17][m=3]_GGACA,chr14,103986370,103986370,-,3,NA,"exon (NM_001823, exon 8 of 8)","exon (NM_001823, exon 8 of 8)",-2826,NM_001823,1152,Hs.173724,NM_001823,ENSG00000166165,CKB,B-CK|BCK|CKBB|HEL-S-29,"creatine kinase, brain",protein-coding
B045_1-4_chr10_r_c472[k=24][m=3]_GGACT,chr10,77158400,77158400,-,3,NA,"3' UTR (NM_032772, exon 2 of 2)","3' UTR (NM_032772, exon 2 of 2)",2886,NR_024421,100131213,Hs.534598,NR_024421,ZNF503-AS2,C10orf41|NCRNA00245,ZNF503 antisense RNA 2,ncRNA,
B045_1-4_chr1_f_c1917[k=9][m=3]_GGACT,chr1,210025024,210025024,+,3,NA,"3' UTR (NM_014388, exon 12 of 12)","3' UTR (NM_014388, exon 12 of 12)",23712,NM_014388,27042,Hs.194754,NM_014388,ENSG00000117597,DIEXF,C1orf107|DEF|DJ434O14.5|UTP25,digestive organ expansion factor homolog (zebrafish),protein-coding
B045_1-4_chr19_r_c693[k=13][m=3]_GGACC,chr19,16629921,16629921,-,3,NA,TTS (NM_001288834),TTS (NM_001288834),-22799,NM_001288834,84167,Hs.631627,XR_244088,ENSG00000105072,C19orf44,0,chromosome 19 open reading frame 44,protein-coding
B045_1-4_chr15_f_c186[k=27][m=3]_GAACA,chr15,49171857,49171857,+,3,NA,"3' UTR (NM_014335, exon 1 of 1)","3' UTR (NM_014335, exon 1 of 1)",1567,NM_014335,23741,Hs.255973,NM_014335,ENSG00000255302,EID1,C15orf3|CRI1|EID-1|IRO45620|PTD014|RBP21,EP300 interacting inhibitor of differentiation 1,protein-coding
B045_1-4_chr14_r_c474[k=19][m=3]_GGACT,chr14,75601651,75601651,-,3,NA,"exon (NM_006827, exon 5 of 5)","exon (NM_006827, exon 5 of 5)",7873,NM_033116,91754,Hs.7200,XM_005268208,ENSG00000119638,NEK9,NERCC|NERCC1|Nek8,NIMA-related kinase 9,protein-coding
B045_1-4_chrM_f_c217[k=101][m=3]_TTACC,chrM,7872,7872,+,3,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr16_f_c949[k=27][m=3]_AGACT,chr16,70605827,70605827,+,3,NA,"3' UTR (NM_012426, exon 26 of 26)","3' UTR (NM_012426, exon 26 of 26)",-7971,NM_001172771,146433,Hs.461214,XM_005255810,ENSG00000157368,IL34,C16orf77|IL-34,interleukin 34,protein-coding
B045_1-4_chr6_r_c804[k=15][m=3]_AGACT,chr6,106634183,106634183,-,3,NA,"non-coding (NR_104403, exon 5 of 5)","non-coding (NR_104403, exon 5 of 5)",-87446,NM_182907,639,Hs.436023,XM_005267094,ENSG00000057657,PRDM1,BLIMP1|PRDI-BF1,"PR domain containing 1, with ZNF domain",protein-coding
B045_1-4_chr20_f_c179[k=9][m=3]_AGACT,chr20,23334905,23334905,+,3,NA,"exon (NM_013248, exon 2 of 2)","exon (NM_013248, exon 2 of 2)",3532,NM_013248,29107,Hs.516933,NM_013248,ENSG00000132661,NXT1,MTR2|P15,NTF2-like export factor 1,protein-coding
B045_1-4_chr12_f_c391[k=7][m=3]_GAACT,chr12,53691688,53691688,+,3,NA,"exon (NM_002624, exon 4 of 6)","exon (NM_002624, exon 4 of 6)",-1782,NM_021640,60314,Hs.655988,XM_005269070,ENSG00000139637,C12orf10,Gamm1|MST024|MSTP024|MYG|MYG1,chromosome 12 open reading frame 10,protein-coding
B045_1-4_chr5_r_c164[k=9][m=3]_GAACT,chr5,32126637,32126637,-,3,NA,"exon (NM_022130, exon 4 of 4)","exon (NM_022130, exon 4 of 4)",-47788,NM_022130,64083,Hs.408909,XM_005248332,ENSG00000113384,GOLPH3,GOPP1|GPP34|MIDAS,golgi phosphoprotein 3 (coat-protein),protein-coding
B045_1-4_chr11_r_c182[k=23][m=3]_TTACT,chr11,10820653,10820653,-,3,NA,"exon (NM_001172705, exon 21 of 22)","exon (NM_001172705, exon 21 of 22)",-2502,NR_004403,692223,Hs.723086,NR_004403,SNORD97,U97,"small nucleolar RNA, C/D box 97",snoRNA,
B045_1-4_chr11_r_c673[k=17][m=3]_AGACT,chr11,65623530,65623530,-,3,NA,"exon (NM_005507, exon 2 of 4)","exon (NM_005507, exon 2 of 4)",-2274,NM_005507,1072,Hs.170622,NM_005507,ENSG00000172757,CFL1,CFL|HEL-S-15,cofilin 1 (non-muscle),protein-coding
B045_1-4_chr5_f_c820[k=7][m=3]_GGACT,chr5,139908391,139908391,+,3,NA,"exon (NM_017747, exon 29 of 34)","exon (NM_017747, exon 29 of 34)",-18860,NM_003732,8637,Hs.594084,NM_003732,ENSG00000243056,EIF4EBP3,4E-BP3|4EBP3,eukaryotic translation initiation factor 4E binding protein 3,protein-coding
B045_1-4_chr21_f_c197[k=10][m=3]_AGACT,chr21,34926993,34926993,+,3,NA,"exon (NM_032195, exon 3 of 7)","exon (NM_032195, exon 3 of 7)",4025,NR_106756,102465248,NR_106756,MIR6501,hsa-mir-6501,microRNA mir-6501,ncRNA,,
B045_1-4_chr9_r_c31[k=14][m=3]_CAACT,chr9,6013546,6013546,-,3,NA,"exon (NM_012416, exon 1 of 1)","exon (NM_012416, exon 1 of 1)",-2094,NM_001243202,26953,Hs.732683,NM_001243202,ENSG00000137040,RANBP6,0,RAN binding protein 6,protein-coding
B045_1-4_chr19_f_c689[k=8][m=3]_AAACT,chr19,18977710,18977710,+,3,NA,"3' UTR (NM_002911, exon 24 of 24)","3' UTR (NM_002911, exon 24 of 24)",29243,NM_001492,2657,Hs.412355,NM_001492,ENSG00000130283,GDF1,DORV|DTGA3|RAI,growth differentiation factor 1,protein-coding
B045_1-4_chr16_f_c564[k=7][m=3]_GCACT,chr16,30646134,30646134,+,3,NA,Intergenic,Intergenic,-16107,NM_024031,78994,Hs.293629,XM_005255566,ENSG00000156858,PRR14,0,proline rich 14,protein-coding
B045_1-4_chr7_f_c471[k=14][m=3]_AGACT,chr7,70255684,70255684,+,3,NA,"exon (NM_015570, exon 19 of 19)","exon (NM_015570, exon 19 of 19)",-341839,NM_022479,64409,Hs.488591,NM_022479,ENSG00000185274,WBSCR17,GALNACT17|GALNT16|GALNT20|GALNTL3,Williams-Beuren syndrome chromosome region 17,protein-coding
B045_1-4_chr14_r_c751[k=6][m=3]_GAACT,chr14,104026321,104026321,-,3,NA,"exon (NM_004873, exon 2 of 2)","exon (NM_004873, exon 2 of 2)",-2334,NM_001015049,9529,Hs.5443,NM_001015048,ENSG00000166170,BAG5,BAG-5,BCL2-associated athanogene 5,protein-coding
B045_1-4_chr8_r_c871[k=36][m=3]_GGACA,chr8,146017494,146017494,-,3,NA,promoter-TSS (NR_106909),promoter-TSS (NR_106909),118,NR_106909,102465978,NR_106909,MIR6850,hsa-mir-6850,microRNA mir-6850,ncRNA,,
B045_1-4_chr1_f_c2148[k=9][m=3]_GAACA,chr1,228336540,228336540,+,3,NA,promoter-TSS (NM_020435),promoter-TSS (NM_020435),-875,NM_020435,57165,Hs.743715,NM_020435,ENSG00000198835,GJC2,CX46.6|Cx47|GJA12|HLD2|LMPH1C|PMLDAR|SPG44,"gap junction protein, gamma 2, 47kDa",protein-coding
B045_1-4_chr4_f_c53[k=6][m=3]_GGACA,chr4,1902709,1902709,+,3,NA,"exon (NM_133335, exon 2 of 22)","exon (NM_133335, exon 2 of 22)",356,NM_133334,7468,Hs.113876,XM_005248001,ENSG00000109685,WHSC1,MMSET|NSD2|REIIBP|TRX5|WHS,Wolf-Hirschhorn syndrome candidate 1,protein-coding
B045_1-4_chr2_f_c574[k=16][m=3]_GGACT,chr2,75118194,75118194,+,3,NA,"3' UTR (NM_000189, exon 18 of 18)","3' UTR (NM_000189, exon 18 of 18)",58412,NM_000189,3099,Hs.591588,XM_005264280,ENSG00000159399,HK2,HKII|HXK2,hexokinase 2,protein-coding
B045_1-4_chrM_f_c110[k=209][m=3]_TGACA,chrM,2556,2556,+,3,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr4_r_c548[k=53][m=3]_GGACT,chr4,89442760,89442760,-,3,NA,"exon (NM_001042616, exon 2 of 2)","exon (NM_001042616, exon 2 of 2)",-2192,NM_032906,100996939,Hs.743393,NM_032906,ENSG00000145337,PYURF,PREY,PIGY upstream reading frame,protein-coding
B045_1-4_chr16_f_c400[k=6][m=3]_GGACA,chr16,21994465,21994465,+,3,NA,TTS (NM_173806),TTS (NM_173806),17966,NR_033694,255762,Hs.98244,NM_173806,ENSG00000155714,PDZD9,C16orf65,PDZ domain containing 9,protein-coding
B045_1-4_chr12_f_c107[k=7][m=3]_GAACC,chr12,7053264,7053264,+,3,NA,promoter-TSS (NM_138425),promoter-TSS (NM_138425),61,NM_138425,113246,Hs.405913,XM_005253669,ENSG00000111678,C12orf57,C10|GRCC10|TEMTYS,chromosome 12 open reading frame 57,protein-coding
B045_1-4_chr1_f_c1250[k=29][m=3]_GAACA,chr1,112308843,112308843,+,3,NA,"exon (NM_007204, exon 11 of 11)","exon (NM_007204, exon 11 of 11)",-10424,NM_198926,55924,Hs.193406,NM_019099,ENSG00000197852,FAM212B,C1orf183,"family with sequence similarity 212, member B",protein-coding
B045_1-4_chr9_r_c780[k=7][m=3]_AGACT,chr9,132575873,132575873,-,3,NA,"3' UTR (NM_000113, exon 5 of 5)","3' UTR (NM_000113, exon 5 of 5)",-10441,NM_014506,27348,Hs.252682,XM_005251927,ENSG00000136816,TOR1B,DQ1,"torsin family 1, member B (torsin B)",protein-coding
B045_1-4_chr2_r_c339[k=52][m=3]_GGACA,chr2,47387536,47387536,-,3,NA,"3' UTR (NM_001743, exon 6 of 6)","3' UTR (NM_001743, exon 6 of 6)",5019,NM_001163561,285051,Hs.531575,NM_001163561,ENSG00000239605,C2orf61,0,chromosome 2 open reading frame 61,protein-coding
B045_1-4_chr20_r_c60[k=8][m=3]_GGACC,chr20,3766760,3766760,-,3,NA,promoter-TSS (NM_001287516),promoter-TSS (NM_001287516),-577,NM_001810,1059,Hs.713340,NM_001810,ENSG00000125817,CENPB,0,"centromere protein B, 80kDa",protein-coding
B045_1-4_chr12_f_c182[k=6][m=3]_AAACT,chr12,19671966,19671966,+,3,NA,"3' UTR (NM_153207, exon 8 of 8)","3' UTR (NM_153207, exon 8 of 8)",78451,NM_001267043,121536,Hs.126497,XR_242886,AEBP2,0,AE binding protein 2,protein-coding,
B045_1-4_chr16_f_c209[k=22][m=3]_GGACA,chr16,2816839,2816839,+,3,NA,"exon (NM_016333, exon 11 of 15)","exon (NM_016333, exon 11 of 15)",10458,NM_007108,6923,Hs.172772,NM_007108,ENSG00000103363,TCEB2,ELOB|SIII,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)",protein-coding
B045_1-4_chr1_r_c1984[k=16][m=3]_AAACT,chr1,192985329,192985329,-,3,NA,"3' UTR (NM_001199261, exon 11 of 11)","3' UTR (NM_001199261, exon 11 of 11)",-43194,NM_001199261,51377,Hs.145469,XM_005245244,ENSG00000116750,UCHL5,CGI-70|INO80R|UCH-L5|UCH37,ubiquitin carboxyl-terminal hydrolase L5,protein-coding
B045_1-4_chr5_f_c986[k=13][m=3]_CTACC,chr5,158709544,158709544,+,3,NA,"intron (NM_145049, intron 9 of 10)","intron (NM_145049, intron 9 of 10)",19455,NM_145049,134510,Hs.591733,NM_145049,ENSG00000164332,UBLCP1,CPUB1,ubiquitin-like domain containing CTD phosphatase 1,protein-coding
B045_1-4_chr4_f_c430[k=17][m=3]_GAACT,chr4,71555984,71555984,+,3,NA,"3' UTR (NM_020368, exon 1 of 1)","3' UTR (NM_020368, exon 1 of 1)",1788,NM_020368,57050,Hs.322901,NM_020368,ENSG00000132467,UTP3,CRL1|CRLZ1|SAS10,"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)",protein-coding
B045_1-4_chr20_f_c80[k=9][m=3]_GGACT,chr20,6017912,6017912,+,3,NA,"3' UTR (NM_001127458, exon 7 of 7)","3' UTR (NM_001127458, exon 7 of 7)",16814,NM_152611,164312,Hs.741928,NM_152611,ENSG00000125872,LRRN4,C20orf75|NLRR-4|NLRR4|dJ1056H1.1,leucine rich repeat neuronal 4,protein-coding
B045_1-4_chr12_r_c156[k=33][m=3]_AGACC,chr12,21788483,21788483,-,3,NA,"exon (NM_002300, exon 8 of 8)","exon (NM_002300, exon 8 of 8)",-22245,NM_001174097,3945,Hs.446149,NM_001174097,ENSG00000111716,LDHB,HEL-S-281|LDH-B|LDH-H|LDHBD|TRG-5,lactate dehydrogenase B,protein-coding
B045_1-4_chr17_r_c661[k=7][m=3]_GGACT,chr17,41197549,41197549,-,3,NA,"non-coding (NR_027676, exon 23 of 23)","non-coding (NR_027676, exon 23 of 23)",-20291,NM_005440,8153,Hs.603111,XM_005257706,ENSG00000108830,RND2,ARHN|RHO7|RhoN,Rho family GTPase 2,protein-coding
B045_1-4_chr1_r_c564[k=11][m=3]_GGACT,chr1,33245819,33245819,-,3,NA,"exon (NM_003680, exon 11 of 13)","exon (NM_003680, exon 11 of 13)",-14584,NM_001198972,57648,Hs.591502,XM_005271073,ENSG00000162522,KIAA1522,0,KIAA1522,protein-coding
B045_1-4_chr10_r_c283[k=27][m=3]_GAACT,chr10,43883153,43883153,-,3,NA,"exon (NM_004966, exon 4 of 4)","exon (NM_004966, exon 4 of 4)",-9126,NM_001098208,3185,Hs.712955,XM_005271816,ENSG00000169813,HNRNPF,HNRPF|OK/SW-cl.23|mcs94-1,heterogeneous nuclear ribonucleoprotein F,protein-coding
B045_1-4_chr10_r_c541[k=28][m=3]_TAACC,chr10,85322348,85322348,-,3,NA,Intergenic,Intergenic,576837,NM_014394,27069,Hs.352656,XM_005269699,ENSG00000165678,GHITM,DERP2|HSPC282|MICS1|PTD010|TMBIM5,growth hormone inducible transmembrane protein,protein-coding
B045_1-4_chrX_r_c776[k=13][m=3]_TGACT,chrX,119660539,119660539,-,3,NA,"3' UTR (NM_003588, exon 22 of 22)","3' UTR (NM_003588, exon 22 of 22)",-34278,NM_001079872,8450,Hs.102914,XM_005262481,ENSG00000158290,CUL4B,MRXHF2|MRXS15|MRXSC|SFM2,cullin 4B,protein-coding
B045_1-4_chr17_r_c344[k=71][m=3]_GGACT,chr17,17286677,17286677,-,3,NA,Intergenic,Intergenic,35981,NM_001243312,140776,Hs.740247,NM_001243312,SMCR9,0,"Smith-Magenis syndrome chromosome region, candidate 9",protein-coding,
B045_1-4_chr1_f_c1500[k=6][m=3]_GGACA,chr1,155584295,155584295,+,3,NA,"non-coding (NR_046292, exon 14 of 14)","non-coding (NR_046292, exon 14 of 14)",4316,NR_024117,100129405,Hs.720829,NR_024117,MSTO2P,MSTO2,"misato family member 2, pseudogene",pseudo,
B045_1-4_chr7_f_c437[k=9][m=3]_AAACT,chr7,65419410,65419410,+,3,NA,"3' UTR (NM_173517, exon 3 of 3)","3' UTR (NM_173517, exon 3 of 3)",27891,NM_001284290,2990,Hs.255230,XM_005250297,ENSG00000169919,GUSB,BG|MPS7,"glucuronidase, beta",protein-coding
B045_1-4_chr4_f_c131[k=16][m=3]_GGACG,chr4,6677223,6677223,+,3,NA,"non-coding (NR_015433, exon 2 of 2)","non-coding (NR_015433, exon 2 of 2)",1402,NR_015433,93622,Hs.6815,NR_015433,LOC93622,0,Morf4 family associated protein 1-like 1 pseudogene,pseudo,
B045_1-4_chrM_f_c37[k=227][m=3]_TTACT,chrM,1704,1704,+,3,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr12_r_c457[k=23][m=3]_GTACT,chr12,57037337,57037337,-,3,NA,TTS (NR_003046),TTS (NR_003046),-201,NR_003046,692090,NR_003046,SNORD59B,U59B,"small nucleolar RNA, C/D box 59B",snoRNA,,
B045_1-4_chr19_f_c1182[k=32][m=3]_GGACT,chr19,49995372,49995372,+,3,NA,TTS (NR_026712),TTS (NR_026712),940,NR_000018,26816,NR_000018,SNORD35A,RNU35|RNU35A|U35,"small nucleolar RNA, C/D box 35A",snoRNA,,
B045_1-4_chr1_r_c1521[k=25][m=3]_GGACT,chr1,150594659,150594659,-,3,NA,TTS (NM_207042),TTS (NM_207042),-6950,NM_207045,2029,Hs.632456,XM_005244952,ENSG00000143420,ENSA,ARPP-19e,endosulfine alpha,protein-coding
B045_1-4_chr7_f_c1069[k=16][m=3]_TGACT,chr7,148923072,148923072,+,3,NA,"3' UTR (NM_003575, exon 8 of 8)","3' UTR (NM_003575, exon 8 of 8)",-13670,NM_012256,7988,Hs.490510,XM_005250054,ENSG00000170260,ZNF212,C2H2-150|ZNF182|ZNFC150,zinc finger protein 212,protein-coding
B045_1-4_chr1_f_c244[k=7][m=3]_GAACA,chr1,15986573,15986573,+,3,NA,"exon (NM_006511, exon 1 of 1)","exon (NM_006511, exon 1 of 1)",209,NM_006511,6248,Hs.709169,NM_006511,ENSG00000215695,RSC1A1,RS1,"regulatory solute carrier protein, family 1, member 1",protein-coding
B045_1-4_chr22_r_c630[k=15][m=3]_AGACT,chr22,50941902,50941902,-,3,NA,"exon (NM_033200, exon 14 of 14)","exon (NM_033200, exon 14 of 14)",-4233,NM_033200,91289,Hs.150540,XM_005261955,ENSG00000100258,LMF2,TMEM112B|TMEM153,lipase maturation factor 2,protein-coding
